time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,total_ehc_plans,review_expected,review_not_expected,review_meeting_25,review_meeting_24,review_meeting_prior_24,total_review_meeting,no_review_meeting,review_decision25,review_decision24,review_decision_prior24,review_decision_not_due,review_decision_outstanding,outcome_amend,outcome_cease,outcome_maintan,no_outcome,number_decsion_4weeks,number_decision_gt_4weeks,pc_decsion_4weeks,pc_decision_gt_4weeks
2024,Calendar year,National,E92000001,England,,,,,,All annual reviews,All annual reviews,638745,524654,114091,9208,318369,126184,453761,70893,26072,254836,67848,15767,97801,219538,4087,135264,94872,154924,193835,44.4,55.6
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 10,41405,32108,9297,398,25465,3493,29356,2752,2138,21071,1571,783,4309,20060,16,4792,4488,11164,13616,45.1,54.9
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 11,46775,36972,9803,657,19809,11716,32182,4790,1581,17169,6984,1044,6002,15928,24,10304,5926,11841,13893,46,54
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 12,47172,42092,5080,788,27950,7770,36508,5584,1812,22453,4342,1208,7365,14692,23,14747,7046,12421,16186,43.4,56.6
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 13,47359,41289,6070,880,27471,8224,36575,4714,1960,21834,4749,1337,7403,15198,42,14167,7168,12328,16215,43.2,56.8
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 14,47125,40853,6272,964,26217,8928,36109,4744,2067,20352,4854,1441,8102,17035,30,11259,7785,11273,16000,41.3,58.7
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 15,44886,39334,5552,662,29334,5484,35480,3854,3794,18751,2925,1652,9250,20972,64,6341,8103,12421,13049,48.8,51.2
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 16,42005,37558,4447,779,15056,17519,33354,4204,1570,17236,7253,1288,6705,19563,90,7037,6664,10954,15106,42,58
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 17,36484,34678,1806,675,19324,9896,29895,4783,1498,14868,5983,1108,6993,13502,411,9214,6768,10258,12092,45.9,54.1
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 18,28598,27580,1018,402,14118,9063,23583,3997,1186,11001,5306,724,5739,10294,853,7016,5420,7981,9512,45.6,54.4
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 19,20815,20235,580,322,7548,9104,16974,3261,585,6991,4976,504,4193,7281,705,5056,3932,5451,7101,43.4,56.6
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 2 and under,533,36,497,2,19,1,22,14,4,15,0,3,2,13,0,6,3,9,10,47.4,52.6
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 20 and over,37180,36597,583,454,13475,15469,29398,7199,1040,10775,8850,783,8360,10174,1759,9504,7961,8831,11834,42.7,57.3
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 3,4302,383,3919,8,275,9,292,91,39,204,3,20,42,178,0,61,53,134,112,54.5,45.5
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 4,22517,4057,18460,89,2446,321,2856,1201,317,1780,148,169,542,1278,1,903,674,1146,1099,51,49
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 5,30847,20559,10288,324,14298,1425,16047,4512,1016,10966,584,583,3236,7575,8,5113,3351,5674,6892,45.2,54.8
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 6,31867,23833,8034,385,16803,2881,20069,3764,1208,13018,1460,661,4052,9821,16,6107,4125,6837,8850,43.6,56.4
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 7,34082,26497,7585,422,17869,4564,22855,3642,1354,14064,2345,764,4749,11954,18,6143,4740,7853,9910,44.2,55.8
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 8,36412,29183,7229,473,20011,4867,25351,3832,1350,15784,2594,820,5255,11925,14,8244,5168,8851,10877,44.9,55.1
2024,Calendar year,National,E92000001,England,,,,,,Child or young persons age,Aged 9,38381,30810,7571,524,20881,5450,26855,3955,1553,16504,2921,875,5502,12095,13,9250,5497,9497,11481,45.3,54.7
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity,Any other ethnic group,10683,8894,1789,115,5300,2194,7609,1285,349,4155,1273,226,1729,3450,56,2475,1628,2562,3215,44.3,55.7
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity,Asian - Any other Asian background,10216,8483,1733,129,5211,1832,7172,1311,347,3872,900,225,1939,3198,48,2010,1916,2249,2870,43.9,56.1
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity,Asian - Bangladeshi,8868,7452,1416,94,4073,1407,5574,1878,309,3452,594,155,1141,2569,22,1812,1171,1721,2634,39.5,60.5
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity,Asian - Chinese,1783,1533,250,25,974,323,1322,211,61,763,175,40,302,607,12,407,296,453,546,45.3,54.7
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity,Asian - Indian,10812,9021,1791,132,5568,1992,7692,1329,411,3865,967,252,2329,3460,41,1949,2242,2180,3063,41.6,58.4
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity,Asian - Pakistani,21416,18244,3172,262,10625,4370,15257,2987,865,8660,2063,487,3484,6498,107,4142,4510,5607,5981,48.4,51.6
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity,Black - Any other Black background,6709,5589,1120,75,3100,1305,4480,1109,222,2311,680,147,1195,2003,27,1375,1075,1401,1812,43.6,56.4
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity,Black - Black African,23881,19648,4233,291,11748,4769,16808,2840,879,8766,2546,516,4383,7391,123,5377,3917,5225,6966,42.9,57.1
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity,Black - Black Caribbean,7835,6671,1164,69,3537,1840,5446,1225,225,2583,953,152,1608,2350,71,1727,1298,1563,2198,41.6,58.4
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity,Mixed - Any other Mixed background,15397,12443,2954,183,7463,2796,10442,2001,525,5772,1509,332,2466,4917,69,3062,2394,3374,4432,43.2,56.8
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity,Mixed - White and Asian,7352,6013,1339,102,3735,1300,5137,876,301,2899,696,158,1169,2483,40,1464,1150,1831,2065,47,53
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity,Mixed - White and Black African,5563,4507,1056,87,2730,1028,3845,662,217,2110,546,152,905,1788,30,1204,823,1357,1516,47.2,52.8
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity,Mixed - White and Black Caribbean,12420,10051,2369,155,5865,2433,8453,1598,472,4555,1329,301,1957,4103,75,2432,1843,2949,3407,46.4,53.6
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity,Unclassified,49151,38020,11131,620,21193,8879,30692,7328,1633,16317,4765,1180,7373,14417,374,8494,7407,8923,13793,39.3,60.7
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity,White - Any other White background,27449,22690,4759,347,13939,5081,19367,3323,958,11077,2734,625,4276,9241,132,5904,4090,6318,8451,42.8,57.2
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity,White - Gypsy/Roma,2349,1912,437,39,1034,449,1522,390,89,847,256,71,294,779,20,399,324,591,601,49.6,50.4
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity,White - Irish,1577,1308,269,23,752,341,1116,192,74,576,187,36,265,532,22,333,229,381,456,45.5,54.5
2024,Calendar year,National,E92000001,England,,,,,,Ethnicity,White - Traveller of Irish heritage,946,728,218,12,414,171,597,131,34,331,102,24,121,351,2,133,111,232,235,49.7,50.3
