time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,max_age,needs_met,he,employ,transfer,no_engage,moved_outside_eng,deceased,not_rec,other,total_ceased
2022,Calendar year,National,E92000001,England,,,,,,All ceased EHC plans,All ceased EHC plans,2141,4054,1454,2734,9400,11734,490,519,5,2193,34724
2022,Calendar year,Regional,E92000001,England,E12000001,North East,,,,All ceased EHC plans,All ceased EHC plans,68,305,102,325,398,816,9,38,0,55,2116
2022,Calendar year,Regional,E92000001,England,E12000002,North West,,,,All ceased EHC plans,All ceased EHC plans,469,322,188,431,1198,1427,69,77,0,447,4628
2022,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,All ceased EHC plans,All ceased EHC plans,213,212,153,257,770,1562,30,61,0,79,3337
2022,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,All ceased EHC plans,All ceased EHC plans,62,94,46,49,691,1320,22,36,0,312,2632
2022,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,All ceased EHC plans,All ceased EHC plans,68,1523,85,183,1170,829,18,84,0,261,4221
2022,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,All ceased EHC plans,All ceased EHC plans,196,208,130,343,855,1247,34,49,3,570,3635
2022,Calendar year,Regional,E92000001,England,E12000007,London,,,,All ceased EHC plans,All ceased EHC plans,317,328,400,333,2017,1822,218,81,0,9,5525
2022,Calendar year,Regional,E92000001,England,E12000008,South East,,,,All ceased EHC plans,All ceased EHC plans,409,716,186,447,1394,1323,65,65,2,251,4858
2022,Calendar year,Regional,E92000001,England,E12000009,South West,,,,All ceased EHC plans,All ceased EHC plans,339,346,164,366,907,1388,25,28,0,209,3772
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,All ceased EHC plans,All ceased EHC plans,0,14,5,16,29,34,0,2,0,0,100
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,All ceased EHC plans,All ceased EHC plans,3,7,2,19,46,45,4,10,0,0,136
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,All ceased EHC plans,All ceased EHC plans,9,9,18,46,42,106,0,4,0,1,235
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,All ceased EHC plans,All ceased EHC plans,2,29,7,19,4,62,0,0,0,0,123
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,All ceased EHC plans,All ceased EHC plans,4,4,0,0,34,51,1,3,0,0,97
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,All ceased EHC plans,All ceased EHC plans,0,1,4,3,16,13,1,0,0,23,61
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,All ceased EHC plans,All ceased EHC plans,11,0,4,16,35,95,0,3,0,0,164
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,All ceased EHC plans,All ceased EHC plans,0,73,2,0,27,2,0,0,0,0,104
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,All ceased EHC plans,All ceased EHC plans,0,3,10,26,44,154,1,3,0,31,272
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,All ceased EHC plans,All ceased EHC plans,39,74,36,116,54,178,2,6,0,0,505
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,All ceased EHC plans,All ceased EHC plans,0,53,0,3,23,5,0,3,0,0,87
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,All ceased EHC plans,All ceased EHC plans,0,38,14,61,44,71,0,4,0,0,232
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000011,340,Knowsley,All ceased EHC plans,All ceased EHC plans,6,7,5,19,35,0,0,0,0,0,72
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000012,341,Liverpool,All ceased EHC plans,All ceased EHC plans,11,1,2,3,91,105,0,7,0,0,220
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000013,342,St. Helens,All ceased EHC plans,All ceased EHC plans,1,5,4,9,36,33,0,0,0,13,101
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000014,343,Sefton,All ceased EHC plans,All ceased EHC plans,22,2,15,8,40,48,1,0,0,0,136
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000015,344,Wirral,All ceased EHC plans,All ceased EHC plans,4,0,1,0,29,18,4,3,0,0,59
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000001,350,Bolton,All ceased EHC plans,All ceased EHC plans,8,14,8,11,68,36,0,2,0,2,149
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000002,351,Bury,All ceased EHC plans,All ceased EHC plans,3,5,13,44,47,75,2,3,0,0,192
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000003,352,Manchester,All ceased EHC plans,All ceased EHC plans,323,5,20,7,168,57,27,12,0,0,619
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000004,353,Oldham,All ceased EHC plans,All ceased EHC plans,17,1,6,13,1,291,2,7,0,0,338
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000005,354,Rochdale,All ceased EHC plans,All ceased EHC plans,0,5,8,7,98,30,0,1,0,0,149
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000006,355,Salford,All ceased EHC plans,All ceased EHC plans,1,119,0,0,58,2,0,2,0,0,182
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000007,356,Stockport,All ceased EHC plans,All ceased EHC plans,5,2,11,41,79,96,7,4,0,0,245
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000008,357,Tameside,All ceased EHC plans,All ceased EHC plans,0,0,0,0,42,1,1,4,0,0,48
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000009,358,Trafford,All ceased EHC plans,All ceased EHC plans,0,5,7,9,51,54,7,1,0,0,134
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E08000010,359,Wigan,All ceased EHC plans,All ceased EHC plans,0,7,7,54,53,82,1,2,0,38,244
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000006,876,Halton,All ceased EHC plans,All ceased EHC plans,0,7,0,0,3,0,0,0,0,0,10
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000007,877,Warrington,All ceased EHC plans,All ceased EHC plans,0,2,8,46,25,7,1,6,0,0,95
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E10000017,888,Lancashire,All ceased EHC plans,All ceased EHC plans,43,24,17,29,79,303,0,12,0,141,648
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000008,889,Blackburn with Darwen,All ceased EHC plans,All ceased EHC plans,0,24,2,14,3,21,1,1,0,0,66
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000009,890,Blackpool,All ceased EHC plans,All ceased EHC plans,6,1,3,7,79,69,2,2,0,0,169
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000049,895,Cheshire East,All ceased EHC plans,All ceased EHC plans,0,12,22,43,72,65,0,0,0,2,216
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E06000050,896,Cheshire West and Chester,All ceased EHC plans,All ceased EHC plans,0,57,21,45,6,23,4,3,0,0,159
2022,Calendar year,Local authority,E92000001,England,E12000002,North West,E10000006,909,Cumbria,All ceased EHC plans,All ceased EHC plans,19,17,8,22,35,11,9,5,0,251,377
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000016,370,Barnsley,All ceased EHC plans,All ceased EHC plans,2,5,16,18,61,38,1,4,0,71,216
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000017,371,Doncaster,All ceased EHC plans,All ceased EHC plans,9,16,10,42,53,188,1,1,0,0,320
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000018,372,Rotherham,All ceased EHC plans,All ceased EHC plans,25,7,1,8,56,16,2,5,0,0,120
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000019,373,Sheffield,All ceased EHC plans,All ceased EHC plans,0,0,8,2,77,263,6,10,0,0,366
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000032,380,Bradford,All ceased EHC plans,All ceased EHC plans,0,102,1,1,100,0,6,13,0,1,224
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000033,381,Calderdale,All ceased EHC plans,All ceased EHC plans,1,7,23,16,22,101,1,5,0,0,176
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,382,Kirklees,All ceased EHC plans,All ceased EHC plans,7,6,6,15,56,187,3,5,0,0,285
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,383,Leeds,All ceased EHC plans,All ceased EHC plans,67,3,22,28,36,118,3,8,0,0,285
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000036,384,Wakefield,All ceased EHC plans,All ceased EHC plans,1,25,0,0,96,145,0,3,0,3,273
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000010,810,"Kingston upon Hull, City of",All ceased EHC plans,All ceased EHC plans,11,1,6,5,52,126,1,1,0,2,205
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000011,811,East Riding of Yorkshire,All ceased EHC plans,All ceased EHC plans,12,8,25,28,84,38,2,2,0,0,199
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000012,812,North East Lincolnshire,All ceased EHC plans,All ceased EHC plans,0,4,1,3,20,85,1,2,0,1,117
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000013,813,North Lincolnshire,All ceased EHC plans,All ceased EHC plans,0,3,8,12,23,44,3,0,0,0,93
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E10000023,815,North Yorkshire,All ceased EHC plans,All ceased EHC plans,6,25,26,79,34,213,0,2,0,1,386
2022,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000014,816,York,All ceased EHC plans,All ceased EHC plans,72,0,0,0,0,0,0,0,0,0,72
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E10000007,830,Derbyshire,All ceased EHC plans,All ceased EHC plans,2,1,1,0,24,163,0,6,0,0,197
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E06000015,831,Derby,All ceased EHC plans,All ceased EHC plans,7,8,6,3,35,36,2,3,0,0,100
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E10000018,855,Leicestershire,All ceased EHC plans,All ceased EHC plans,40,20,2,1,88,288,4,3,0,0,446
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E06000016,856,Leicester,All ceased EHC plans,All ceased EHC plans,0,5,1,1,80,184,2,6,0,0,279
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E06000017,857,Rutland,All ceased EHC plans,All ceased EHC plans,0,5,1,1,7,9,0,1,0,0,24
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E10000024,891,Nottinghamshire,All ceased EHC plans,All ceased EHC plans,9,6,17,30,110,241,1,8,0,0,422
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E06000018,892,Nottingham,All ceased EHC plans,All ceased EHC plans,1,22,6,2,39,37,4,2,0,4,117
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E10000019,925,Lincolnshire,All ceased EHC plans,All ceased EHC plans,3,22,0,0,131,353,0,1,0,36,546
2022,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E06000061,940,North Northamptonshire,All ceased EHC plans,All ceased EHC plans,0,0,1,0,81,0,0,2,0,46,130
