time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,Res_3851,Res_52,Res_tot
201819,Academic year,National,E92000001,England,,,,,,All residential placements,All residential placements,2469,1327,3796
201819,Academic year,Regional,E92000001,England,E12000001,North East,,,,All residential placements,All residential placements,25,88,113
201819,Academic year,Regional,E92000001,England,E12000002,North West,,,,All residential placements,All residential placements,134,168,302
201819,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,All residential placements,All residential placements,113,95,208
201819,Academic year,Regional,E92000001,England,E12000004,East Midlands,,,,All residential placements,All residential placements,109,57,166
201819,Academic year,Regional,E92000001,England,E12000005,West Midlands,,,,All residential placements,All residential placements,285,147,432
201819,Academic year,Regional,E92000001,England,E12000006,East of England,,,,All residential placements,All residential placements,306,145,451
201819,Academic year,Regional,E92000001,England,E12000007,London,,,,All residential placements,All residential placements,431,191,622
201819,Academic year,Regional,E92000001,England,E12000008,South East,,,,All residential placements,All residential placements,719,266,985
201819,Academic year,Regional,E92000001,England,E12000009,South West,,,,All residential placements,All residential placements,347,170,517
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E08000037,390,Gateshead,All residential placements,All residential placements,0,7,7
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,All residential placements,All residential placements,3,4,7
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,All residential placements,All residential placements,4,1,5
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,All residential placements,All residential placements,0,2,2
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,All residential placements,All residential placements,4,14,18
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,All residential placements,All residential placements,1,4,5
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000002,806,Middlesbrough,All residential placements,All residential placements,2,9,11
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,All residential placements,All residential placements,0,7,7
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,All residential placements,All residential placements,0,8,8
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,All residential placements,All residential placements,9,18,27
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,All residential placements,All residential placements,0,1,1
201819,Academic year,Local authority,E92000001,England,E12000001,North East,E06000057,929,Northumberland,All residential placements,All residential placements,2,13,15
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000011,340,Knowsley,All residential placements,All residential placements,0,15,15
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000012,341,Liverpool,All residential placements,All residential placements,0,3,3
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000013,342,St. Helens,All residential placements,All residential placements,1,7,8
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000014,343,Sefton,All residential placements,All residential placements,0,1,1
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000015,344,Wirral,All residential placements,All residential placements,14,17,31
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000001,350,Bolton,All residential placements,All residential placements,0,6,6
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000002,351,Bury,All residential placements,All residential placements,2,4,6
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000003,352,Manchester,All residential placements,All residential placements,4,9,13
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000004,353,Oldham,All residential placements,All residential placements,3,4,7
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000005,354,Rochdale,All residential placements,All residential placements,5,2,7
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000006,355,Salford,All residential placements,All residential placements,0,9,9
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000007,356,Stockport,All residential placements,All residential placements,8,6,14
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000008,357,Tameside,All residential placements,All residential placements,8,0,8
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000009,358,Trafford,All residential placements,All residential placements,9,3,12
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E08000010,359,Wigan,All residential placements,All residential placements,2,3,5
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000006,876,Halton,All residential placements,All residential placements,0,0,0
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000007,877,Warrington,All residential placements,All residential placements,0,7,7
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E10000017,888,Lancashire,All residential placements,All residential placements,42,18,60
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000008,889,Blackburn with Darwen,All residential placements,All residential placements,0,7,7
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000009,890,Blackpool,All residential placements,All residential placements,0,0,0
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000049,895,Cheshire East,All residential placements,All residential placements,5,8,13
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E06000050,896,Cheshire West and Chester,All residential placements,All residential placements,3,10,13
201819,Academic year,Local authority,E92000001,England,E12000002,North West,E10000006,909,Cumbria,All residential placements,All residential placements,28,29,57
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000016,370,Barnsley,All residential placements,All residential placements,3,3,6
201819,Academic year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000017,371,Doncaster,All residential placements,All residential placements,1,5,6
