time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,ehc_plans,number_asd,number_hi,number_mld,number_msi,number_oth,number_pd,number_pmld,number_semh,number_slcn,number_sld,number_spld,number_vi,number_need_unknown,asd_pc,hi_pc,mld_pc,msi_pc,oth_pc,pd_pc,pmld_pc,semh_pc,slcn_pc,sld_pc,spld_pc,vi_pc,unknown_pc
202425,Calendar year,National,E92000001,England,,,,,,Age when plan started,age 10,8477,2323,53,1234,10,111,115,28,2509,1351,95,483,36,129,27.4,0.6,14.6,0.1,1.3,1.4,0.3,29.6,15.9,1.1,5.7,0.4,1.5
202425,Calendar year,National,E92000001,England,,,,,,Age when plan started,age 11,7082,1968,31,895,10,103,122,13,2413,919,69,384,28,127,27.8,0.4,12.6,0.1,1.5,1.7,0.2,34.1,13,1,5.4,0.4,1.8
202425,Calendar year,National,E92000001,England,,,,,,Age when plan started,age 12,4136,1159,24,334,3,58,69,11,1777,408,37,147,24,85,28,0.6,8.1,0.1,1.4,1.7,0.3,43,9.9,0.9,3.6,0.6,2.1
202425,Calendar year,National,E92000001,England,,,,,,Age when plan started,age 13,5045,1353,18,310,7,49,58,9,2571,420,39,106,13,92,26.8,0.4,6.1,0.1,1,1.1,0.2,51,8.3,0.8,2.1,0.3,1.8
202425,Calendar year,National,E92000001,England,,,,,,Age when plan started,age 14,4960,1195,21,259,10,71,76,8,2678,368,29,108,22,115,24.1,0.4,5.2,0.2,1.4,1.5,0.2,54,7.4,0.6,2.2,0.4,2.3
202425,Calendar year,National,E92000001,England,,,,,,Age when plan started,age 15,4099,1046,21,208,3,47,65,5,2207,288,35,85,12,77,25.5,0.5,5.1,0.1,1.1,1.6,0.1,53.8,7,0.9,2.1,0.3,1.9
202425,Calendar year,National,E92000001,England,,,,,,Age when plan started,age 16,2703,766,11,143,3,48,80,8,1341,165,25,45,14,54,28.3,0.4,5.3,0.1,1.8,3,0.3,49.6,6.1,0.9,1.7,0.5,2
202425,Calendar year,National,E92000001,England,,,,,,Age when plan started,age 17,955,306,5,41,2,17,54,5,400,63,14,14,5,29,32,0.5,4.3,0.2,1.8,5.7,0.5,41.9,6.6,1.5,1.5,0.5,3
202425,Calendar year,National,E92000001,England,,,,,,Age when plan started,age 18,419,151,2,33,0,5,10,2,155,27,6,10,3,15,36,0.5,7.9,0,1.2,2.4,0.5,37,6.4,1.4,2.4,0.7,3.6
202425,Calendar year,National,E92000001,England,,,,,,Age when plan started,age 19,196,74,4,13,0,6,11,2,50,24,3,3,2,4,37.8,2,6.6,0,3.1,5.6,1,25.5,12.2,1.5,1.5,1,2
202425,Calendar year,National,E92000001,England,,,,,,Age when plan started,age 2 and under,561,30,24,26,12,22,132,86,1,154,22,10,31,11,5.3,4.3,4.6,2.1,3.9,23.5,15.3,0.2,27.5,3.9,1.8,5.5,2
