time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,open_supp_intern,open_apprentice,open_trainee,open_wbp
202425,Academic year,National,E92000001,England,,,,,,All work based placements,All work based placements,2673,1017,686,4376
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,Any other ethnic group,47,3,2,52
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,Asian - Any other Asian background,44,1,3,48
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,Asian - Bangladeshi,67,8,1,76
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,Asian - Chinese,9,0,0,9
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,Asian - Indian,53,5,0,58
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,Asian - Pakistani,83,8,5,96
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,Black - Any other Black background,31,1,3,35
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,Black - Black African,112,2,12,126
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,Black - Black Caribbean,46,7,16,69
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,Mixed - Any other Mixed background,47,12,9,68
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,Mixed - White and Asian,23,7,5,35
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,Mixed - White and Black African,16,6,2,24
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,Mixed - White and Black Caribbean,59,22,13,94
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,Unclassified,193,76,68,337
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,White - Any other White background,74,11,12,97
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,White - Gypsy/Roma,6,2,1,9
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,White - Irish,13,1,2,16
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,White - Traveller of Irish heritage,0,0,0,0
202425,Academic year,National,E92000001,England,,,,,,Ethnicity,White - White British,1750,845,532,3127
202425,Academic year,National,E92000001,England,,,,,,Sex,Female,806,268,214,1288
202425,Academic year,National,E92000001,England,,,,,,Sex,Male,1867,749,472,3088
202425,Academic year,National,E92000001,England,,,,,,Sex,Unknown,0,0,0,0
202425,Academic year,National,E92000001,England,,,,,,Type of placement,AP/PRU - academy,0,0,0,0
202425,Academic year,National,E92000001,England,,,,,,Type of placement,AP/PRU - free school,0,0,0,0
202425,Academic year,National,E92000001,England,,,,,,Type of placement,AP/PRU - LA maintained,0,0,0,0
202425,Academic year,National,E92000001,England,,,,,,Type of placement,AP/PRU - total,0,0,0,0
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - elective home education,0,2,5,7
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - NEET,0,4,0,4
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - not in education or training (compulsory school age),0,0,0,0
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - not in education or training (notice to cease issued),1,0,0,1
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - not in education or training (other),0,1,0,1
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - online provider,0,0,0,0
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - other arrangements by LA,87,78,219,384
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - other arrangements by parents,2,12,0,14
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - other placement settings,61,220,66,347
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - other schools and establishments,4,1,0,5
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - total,155,318,290,763
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Educated elsewhere - Welsh establishment,0,0,0,0
202425,Academic year,National,E92000001,England,,,,,,Type of placement,FE - general FE and tertiary colleges,1328,373,50,1751
202425,Academic year,National,E92000001,England,,,,,,Type of placement,FE - specialist post-16 institutions,563,11,11,585
202425,Academic year,National,E92000001,England,,,,,,Type of placement,FE - total,2245,647,364,3256
202425,Academic year,National,E92000001,England,,,,,,Type of placement,FE - UKRLP provider,354,263,303,920
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Mainstream - academy,8,13,1,22
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Mainstream - academy (resourced provision),1,1,0,2
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Mainstream - academy (SEN unit),0,0,0,0
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Mainstream - free school,1,1,0,2
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Mainstream - free school (resourced provision),0,0,0,0
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Mainstream - free school (SEN unit),0,0,0,0
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Mainstream - independent,0,0,0,0
202425,Academic year,National,E92000001,England,,,,,,Type of placement,Mainstream - LA maintained,7,2,3,12
